MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"2-Cycle MPG_Hwy","Car","2013","-","-","-","0.0%","0.1%","0.3%","4.3%","13.7%","23.4%","24.6%","16.9%","13.3%","0.3%","2.3%","0.1%","0.3%","-","-","0.0%","-","-","0.0%","0.1%","0.0%","-","0.0%","-","0.0%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2014","-","-","-","0.0%","0.1%","0.2%","4.3%","12.5%","23.2%","21.6%","24.7%","9.9%","0.7%","1.8%","0.1%","0.3%","-","0.0%","0.0%","-","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","-","0.1%","0.0%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2015","-","-","-","-","0.0%","0.3%","4.9%","9.6%","18.7%","21.8%","28.7%","11.6%","1.0%","2.3%","0.1%","0.1%","-","-","-","-","0.1%","-","0.0%","0.0%","-","0.1%","-","0.5%","-","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2016","-","-","-","-","0.0%","0.5%","3.2%","9.0%","19.6%","23.8%","26.9%","12.7%","2.1%","0.3%","0.9%","0.1%","-","-","0.1%","0.0%","0.0%","-","0.0%","0.1%","0.1%","0.2%","0.1%","0.3%","0.1%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2017","-","-","-","-","0.0%","0.4%","2.9%","9.0%","20.9%","24.3%","22.4%","13.4%","2.8%","0.7%","1.0%","0.2%","0.0%","-","0.8%","0.0%","0.0%","0.1%","-","0.1%","0.1%","0.1%","0.1%","0.3%","0.1%","0.0%","0.3%","-","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2018","-","-","-","0.0%","0.0%","0.5%","1.8%","8.4%","21.5%","21.4%","21.1%","17.4%","2.9%","0.2%","0.8%","0.2%","0.0%","-","0.8%","0.0%","0.0%","-","-","0.1%","0.1%","0.0%","0.1%","0.4%","0.0%","0.0%","0.9%","-","0.2%","-","0.8%","0.0%","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2019","-","-","-","0.0%","0.0%","0.5%","1.9%","8.3%","21.9%","21.9%","16.8%","20.0%","3.5%","1.0%","0.8%","0.4%","0.0%","-","0.4%","0.0%","0.0%","0.0%","-","0.1%","0.0%","0.1%","0.0%","0.3%","0.0%","-","1.1%","-","0.0%","-","0.8%","0.0%","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2020","-","-","-","0.0%","0.0%","0.5%","2.2%","7.0%","18.5%","21.9%","17.1%","18.9%","7.3%","0.9%","0.7%","0.7%","0.0%","-","0.4%","0.0%","0.1%","0.0%","-","0.1%","0.0%","0.1%","0.0%","0.4%","0.2%","1.2%","0.8%","-","-","0.1%","0.0%","-","0.8%","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Car","2021","-","-","-","0.0%","0.0%","0.5%","2.5%","7.6%","16.4%","19.7%","18.8%","18.9%","4.2%","1.0%","1.4%","0.5%","0.1%","-","0.6%","0.0%","0.1%","0.1%","0.1%","0.2%","0.7%","0.6%","0.3%","0.4%","0.1%","1.7%","0.1%","1.4%","-","0.7%","1.1%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1975","-","0.0%","38.8%","38.9%","12.1%","7.7%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1976","-","-","32.8%","42.7%","15.9%","3.9%","4.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1977","-","-","18.5%","45.6%","22.0%","5.0%","7.7%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1978","-","-","31.4%","37.1%","19.0%","5.3%","6.3%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1979","-","0.6%","33.4%","37.0%","16.9%","7.7%","2.3%","1.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1980","-","-","3.2%","31.8%","33.5%","14.4%","12.8%","3.8%","-","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1981","-","-","0.5%","14.5%","48.1%","16.2%","11.6%","5.8%","1.9%","0.7%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1982","-","-","2.2%","14.0%","38.0%","18.4%","18.5%","6.7%","1.6%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1983","-","-","0.8%","13.2%","34.0%","21.4%","20.5%","7.8%","1.5%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1984","-","-","0.9%","12.6%","33.5%","27.1%","15.0%","9.9%","0.6%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1985","-","-","0.3%","21.1%","21.0%","30.3%","22.0%","3.8%","1.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1986","-","-","0.2%","12.6%","23.6%","35.2%","21.2%","7.1%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1987","-","-","0.1%","9.3%","21.4%","39.1%","23.0%","7.0%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1988","-","-","0.1%","7.6%","31.5%","33.2%","19.1%","8.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1989","-","-","0.4%","5.4%","33.6%","39.1%","17.3%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1990","-","-","0.5%","5.0%","36.2%","38.2%","15.6%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1991","-","-","0.1%","3.4%","28.4%","47.6%","17.8%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1992","-","-","0.1%","2.0%","38.2%","37.2%","18.2%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1993","-","-","0.1%","0.9%","31.0%","44.8%","19.9%","3.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1994","-","-","-","2.9%","36.9%","41.3%","16.9%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1995","-","-","-","2.8%","43.1%","27.1%","21.7%","5.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1996","-","-","-","2.3%","38.0%","30.6%","26.3%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1997","-","-","-","0.6%","40.6%","37.9%","16.6%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1998","-","-","-","-","33.9%","35.5%","28.3%","2.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","1999","-","-","-","0.2%","41.5%","35.7%","21.2%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2000","-","-","-","0.1%","38.3%","37.3%","23.7%","0.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2001","-","-","-","0.1%","46.3%","30.4%","22.4%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2002","-","-","-","0.9%","47.2%","33.1%","18.1%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2003","-","-","-","0.0%","38.4%","36.3%","24.4%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2004","-","-","-","0.1%","43.5%","35.2%","20.8%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2005","-","-","-","0.1%","33.7%","38.2%","25.4%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2006","-","-","-","0.0%","30.0%","40.8%","24.3%","4.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2007","-","-","-","0.1%","19.7%","49.3%","25.3%","5.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2008","-","-","-","0.1%","15.4%","45.9%","28.8%","9.7%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2009","-","-","-","0.0%","9.0%","39.1%","36.0%","15.7%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2010","-","-","-","0.0%","11.0%","37.0%","35.2%","15.3%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2011","-","0.0%","-","0.2%","6.4%","36.8%","35.9%","18.2%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2012","-","-","0.0%","0.0%","5.9%","36.2%","28.8%","23.7%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2013","-","-","0.0%","0.0%","4.8%","33.4%","32.8%","15.8%","12.4%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2014","-","-","0.0%","0.0%","4.0%","23.0%","33.5%","23.8%","14.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2015","-","-","-","-","1.7%","17.0%","39.8%","21.8%","13.2%","6.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2016","-","-","-","0.0%","1.6%","16.7%","37.5%","23.0%","17.0%","4.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2017","-","-","-","0.0%","1.8%","15.6%","34.9%","27.4%","10.3%","10.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2018","-","-","-","0.0%","2.0%","11.7%","33.7%","26.5%","15.2%","10.5%","0.0%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2019","-","-","-","0.0%","1.7%","13.2%","32.2%","25.0%","14.8%","11.9%","0.9%","0.1%","-","-","-","-","-","-","-","0.1%","0.0%","-","-","0.0%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2020","-","-","-","-","1.8%","13.8%","24.8%","29.1%","14.7%","13.6%","2.0%","0.2%","-","-","-","-","-","-","-","-","0.0%","0.0%","-","0.0%","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","Truck","2021","-","-","-","0.1%","2.8%","12.3%","26.7%","22.5%","15.0%","16.7%","3.2%","0.3%","-","-","0.2%","-","-","-","-","-","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1975","-","0.0%","14.8%","50.4%","14.6%","10.0%","6.5%","2.0%","1.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1976","-","-","7.5%","41.3%","30.9%","5.9%","9.5%","3.0%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1977","-","-","3.8%","34.7%","37.9%","8.4%","6.3%","4.5%","2.9%","1.0%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1978","-","-","7.2%","19.3%","39.1%","15.9%","9.3%","4.4%","3.2%","1.4%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1979","-","0.1%","7.5%","17.8%","39.6%","15.4%","10.1%","6.8%","2.3%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1980","-","-","0.5%","6.1%","20.5%","30.5%","24.8%","10.6%","5.2%","0.6%","0.9%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1981","-","-","0.1%","2.5%","17.4%","30.3%","23.2%","13.9%","8.5%","2.4%","0.5%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1982","-","-","0.5%","2.8%","12.9%","24.2%","21.4%","24.5%","8.0%","3.9%","1.2%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1983","-","-","0.2%","2.9%","11.6%","32.9%","19.2%","16.1%","10.5%","4.4%","1.6%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1984","-","-","0.2%","3.0%","9.7%","28.6%","23.2%","20.3%","9.9%","2.6%","1.5%","0.7%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1985","-","-","0.1%","5.2%","5.8%","23.1%","30.0%","17.8%","11.5%","4.3%","1.3%","0.6%","0.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1986","-","-","0.1%","3.5%","7.1%","19.4%","26.3%","29.2%","9.4%","2.4%","2.0%","0.2%","0.2%","-","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1987","-","-","0.0%","2.6%","6.3%","18.3%","29.8%","27.7%","10.2%","3.8%","0.8%","0.1%","0.2%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1988","-","-","0.0%","2.2%","9.6%","15.6%","24.1%","32.1%","11.0%","3.3%","1.7%","-","0.1%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1989","-","-","0.1%","1.6%","10.5%","15.3%","26.4%","32.1%","9.1%","3.4%","1.2%","0.0%","0.0%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1990","-","-","0.2%","1.5%","11.1%","16.9%","26.1%","33.2%","7.3%","3.0%","0.5%","0.1%","0.2%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1991","-","-","0.0%","1.0%","9.2%","17.9%","29.2%","26.7%","10.9%","3.8%","0.6%","0.1%","0.4%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1992","-","-","0.0%","0.6%","12.5%","14.7%","30.3%","28.7%","7.2%","4.1%","1.1%","0.2%","0.3%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1993","-","-","0.0%","0.3%","11.0%","18.6%","25.3%","28.1%","11.0%","4.0%","1.1%","0.2%","0.3%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1994","-","-","-","1.1%","14.5%","18.4%","24.2%","26.6%","8.4%","5.3%","0.9%","0.1%","0.3%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1995","-","-","0.0%","1.0%","16.1%","11.4%","21.4%","34.0%","9.4%","5.2%","1.0%","0.2%","0.2%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1996","-","-","-","0.9%","14.6%","13.4%","28.0%","29.2%","7.6%","4.8%","1.3%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1997","-","-","-","0.2%","16.4%","16.7%","22.4%","28.1%","11.4%","3.8%","0.7%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1998","-","-","-","0.0%","14.2%","17.9%","21.2%","30.6%","10.1%","5.5%","0.4%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","1999","-","-","-","0.1%","17.4%","17.9%","19.1%","33.4%","8.2%","3.5%","0.3%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2000","-","-","-","0.1%","16.2%","18.9%","20.3%","32.6%","9.2%","2.3%","0.3%","0.1%","0.1%","-","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2001","-","-","-","0.1%","19.5%","16.1%","25.3%","23.9%","9.4%","3.8%","1.7%","0.2%","0.1%","-","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2002","-","-","-","0.4%","21.4%","17.1%","20.6%","24.6%","10.7%","3.7%","1.1%","0.3%","0.1%","-","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2003","-","-","-","0.0%","17.8%","18.8%","23.7%","21.0%","13.6%","4.2%","0.4%","0.2%","0.3%","-","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2004","-","-","-","0.0%","20.9%","19.6%","21.7%","20.7%","12.1%","4.2%","0.2%","0.1%","0.5%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2005","-","-","-","0.1%","15.0%","18.8%","24.1%","19.5%","16.5%","4.7%","0.3%","0.1%","0.9%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2006","-","-","-","0.0%","12.8%","19.0%","24.1%","23.7%","14.1%","3.4%","2.1%","0.0%","0.8%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2007","-","-","-","0.0%","8.3%","21.7%","23.1%","21.6%","15.7%","6.4%","1.9%","-","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_Hwy","All","2008","-","-","-","0.0%","6.4%","20.1%","22.8%","23.8%","15.7%","7.4%","2.2%","0.2%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
